fiscal_year,state,district_as_per_source,district_as_per_lgd,district_lgd_code,crop,season,area,production,crop_yield,year,avg_temperature_c,rainfall_mm,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,irrigation_pct
2024-25,Odisha,Sambalpur,Sambalpur,371.0,Rice,Summer,16603.88,69639.3,4194.0,2024,29.6,1187.0,85.3,5.43,303.0,29.0,177.0,62.0
2024-25,Odisha,Sonepur,Sonepur,372.0,Rice,Summer,40999.7,156856.79,3826.0,2024,27.6,1327.0,80.9,5.29,289.0,23.0,176.0,32.0
2024-25,Odisha,Jharsuguda,Jharsuguda,357.0,Rice,Summer,1951.99,7162.65,3669.0,2024,28.5,1516.0,87.7,5.56,271.0,23.0,177.0,45.0
2024-25,Odisha,Bargarh,Bargarh,347.0,Rice,Summer,100936.27,367524.57,3641.0,2024,30.4,1484.0,87.8,6.18,262.0,23.0,187.0,69.0
2024-25,Odisha,Khordha,Khordha,362.0,Rice,Summer,1752.99,6083.98,3471.0,2024,29.8,1297.0,80.3,6.14,279.0,27.0,158.0,44.0
2024-25,Odisha,Kalahandi,Kalahandi,358.0,Rice,Summer,56148.59,187941.95,3347.0,2024,25.5,1778.0,79.4,6.31,231.0,28.0,187.0,49.0
2024-25,Odisha,Cuttack,Cuttack,350.0,Rice,Summer,9377.93,31231.02,3330.0,2024,28.4,1356.0,75.3,5.95,341.0,21.0,172.0,61.0
2024-25,Odisha,Balasore,Balasore,346.0,Rice,Summer,63914.54,205386.08,3213.0,2024,26.8,1237.0,81.5,5.91,305.0,17.0,168.0,20.0
2024-25,Odisha,Puri,Puri,369.0,Rice,Summer,33237.76,105837.13,3184.0,2024,26.8,1623.0,80.5,6.42,281.0,19.0,201.0,61.0
2024-25,Odisha,Bargarh,Bargarh,347.0,Rice,Kharif,215096.49,675189.75,3139.0,2024,27.6,1689.0,85.1,6.46,263.0,25.0,159.0,63.0
2024-25,Odisha,Dhenkanal,Dhenkanal,352.0,Rice,Kharif,90196.99,281589.54,3122.0,2024,27.2,1303.0,76.0,6.1,283.0,24.0,150.0,67.0
2024-25,Odisha,Nayagarh,Nayagarh,367.0,Rice,Summer,42.0,130.02,3096.0,2024,29.2,1198.0,80.9,6.18,313.0,25.0,194.0,83.0
2024-25,Odisha,Kendrapara,Kendrapara,360.0,Rice,Summer,2112.98,6509.29,3081.0,2024,28.1,1635.0,85.9,6.36,320.0,20.0,164.0,50.0
2024-25,Odisha,Angul,Anugul,344.0,Rice,Summer,2811.98,8519.57,3030.0,2024,27.2,1081.0,79.1,6.4,253.0,28.0,187.0,55.0
2024-25,Odisha,Koraput,Koraput,363.0,Rice,Summer,31904.77,96212.37,3016.0,2024,27.7,1229.0,79.0,5.74,251.0,23.0,173.0,46.0
2024-25,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Rice,Summer,1279.99,3852.72,3010.0,2024,27.5,1624.0,76.2,5.91,358.0,16.0,130.0,49.0
2024-25,Odisha,Angul,Anugul,344.0,Rice,Kharif,88272.1,260889.59,2956.0,2024,29.2,1440.0,92.5,5.71,325.0,25.0,171.0,47.0
2024-25,Odisha,Sonepur,Sonepur,372.0,Rice,Kharif,92931.1,270059.21,2906.0,2024,26.7,1402.0,79.0,6.0,310.0,27.0,177.0,47.0
2024-25,Odisha,Boudh,Boudh,349.0,Rice,Summer,5404.96,15550.75,2877.0,2024,27.5,1514.0,76.8,6.52,280.0,25.0,164.0,29.0
2024-25,Odisha,Ganjam,Ganjam,354.0,Rice,Summer,536.0,1518.9,2834.0,2024,25.7,1423.0,78.8,6.42,317.0,25.0,177.0,41.0
2024-25,Odisha,Koraput,Koraput,363.0,Rice,Kharif,89139.84,251814.43,2825.0,2024,23.2,1216.0,78.9,5.76,240.0,25.0,189.0,70.0
2024-25,Odisha,Nuapada,Nuapada,368.0,Rice,Summer,7497.95,20576.54,2744.0,2024,28.0,1680.0,80.9,6.4,339.0,19.0,194.0,53.0
2024-25,Odisha,Bhadrak,Bhadrak,348.0,Rice,Summer,2612.98,7089.55,2713.0,2024,28.3,1689.0,85.3,6.23,284.0,32.0,181.0,51.0
2024-25,Odisha,Boudh,Boudh,349.0,Rice,Kharif,61742.17,166619.02,2699.0,2024,25.9,1487.0,80.8,6.0,313.0,22.0,148.0,51.0
2024-25,Odisha,Cuttack,Cuttack,350.0,Rice,Kharif,105695.26,283518.02,2682.0,2024,30.4,1458.0,78.3,5.64,308.0,31.0,167.0,63.0
2024-25,Odisha,Keonjhar,Kendujhar,361.0,Rice,Kharif,172252.13,456023.45,2647.0,2024,24.8,1871.0,76.2,6.13,280.0,21.0,151.0,38.0
2024-25,Odisha,Khordha,Khordha,362.0,Rice,Kharif,86440.43,228770.22,2647.0,2024,27.1,1400.0,82.1,6.47,279.0,29.0,156.0,72.0
2024-25,Odisha,Balangir,Balangir,345.0,Rice,Summer,8888.94,23271.69,2618.0,2024,26.7,1403.0,82.2,5.33,328.0,25.0,155.0,27.0
2024-25,Odisha,Kalahandi,Kalahandi,358.0,Rice,Kharif,193227.55,499185.84,2583.0,2024,29.3,1516.0,88.1,6.04,321.0,25.0,164.0,73.0
2024-25,Odisha,Nabarangpur,Nabarangpur,366.0,Rice,Summer,2556.98,6552.18,2562.0,2024,29.2,1715.0,82.4,7.1,223.0,19.0,169.0,64.0
2024-25,Odisha,Puri,Puri,369.0,Rice,Kharif,88729.27,225740.61,2544.0,2024,27.2,1737.0,81.6,6.47,226.0,30.0,207.0,27.0
2024-25,Odisha,Jajpur,Jajapur,356.0,Rice,Summer,3767.97,9467.17,2513.0,2024,27.6,1403.0,77.8,6.3,252.0,26.0,170.0,59.0
2024-25,Odisha,Mayurbhanj,Mayurbhanj,365.0,Rice,Summer,9250.93,22877.28,2473.0,2024,25.7,1505.0,80.8,5.91,254.0,24.0,201.0,64.0
2024-25,Odisha,Rayagada,Rayagada,370.0,Rice,Summer,869.99,2139.99,2460.0,2024,24.0,1202.0,80.2,5.93,246.0,30.0,165.0,40.0
2024-25,Odisha,Rayagada,Rayagada,370.0,Rice,Kharif,52463.84,126356.59,2408.0,2024,26.5,1394.0,80.5,6.17,295.0,24.0,180.0,57.0
