fiscal_year,state,district_as_per_source,district_as_per_lgd,district_lgd_code,crop,season,area,production,crop_yield,unit,note
2024-25,Odisha,Sundargarh,Sundargarh,373.0,Sugarcane,Kharif,29.01,3384.35,116666.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jharsuguda,Jharsuguda,357.0,Sugarcane,Kharif,70.02,6287.87,89800.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balangir,Balangir,345.0,Sugarcane,Kharif,25.01,1862.23,74467.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Cuttack,Cuttack,350.0,Sugarcane,Kharif,225.07,16348.85,72640.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Dhenkanal,Dhenkanal,352.0,Sugarcane,Kharif,574.17,41540.09,72348.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nayagarh,Nayagarh,367.0,Sugarcane,Kharif,214.06,15290.99,71432.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bargarh,Bargarh,347.0,Sugarcane,Kharif,158.05,10503.32,66457.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Ganjam,Ganjam,354.0,Sugarcane,Kharif,285.09,18074.37,63400.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Angul,Anugul,344.0,Sugarcane,Kharif,19.01,1158.07,60933.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Khordha,Khordha,362.0,Sugarcane,Kharif,91.03,5443.42,59800.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Sugarcane,Kharif,376.11,21781.0,57911.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Keonjhar,Kendujhar,361.0,Sugarcane,Kharif,174.05,10025.38,57600.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kendrapara,Kendrapara,360.0,Sugarcane,Kharif,225.07,12823.86,56978.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jajpur,Jajapur,356.0,Sugarcane,Kharif,1868.56,94778.71,50723.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nabarangpur,Nabarangpur,366.0,Sugarcane,Kharif,6998.11,341254.28,48764.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Puri,Puri,369.0,Sugarcane,Kharif,27.01,1253.17,46400.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Koraput,Koraput,363.0,Sugarcane,Kharif,369.11,16752.04,45385.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balasore,Balasore,346.0,Sugarcane,Kharif,411.12,18308.5,44533.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nuapada,Nuapada,368.0,Sugarcane,Kharif,21.01,867.14,41280.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kalahandi,Kalahandi,358.0,Sugarcane,Kharif,1034.31,40860.3,39505.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bhadrak,Bhadrak,348.0,Sugarcane,Kharif,64.02,2133.95,33333.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Gajapati,Gajapati,353.0,Sugarcane,Kharif,1.0,10.0,10000.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sambalpur,Sambalpur,371.0,Rice,Summer,16603.88,69639.3,4194.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Puri,Puri,369.0,Maize,Summer,1.0,4.13,4131.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jharsuguda,Jharsuguda,357.0,Maize,Kharif,82.43,334.7,4060.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nabarangpur,Nabarangpur,366.0,Maize,Kharif,26574.67,106224.44,3997.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jharsuguda,Jharsuguda,357.0,Maize,Summer,3.0,11.73,3910.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Cuttack,Cuttack,350.0,Maize,Summer,31.0,120.22,3878.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Deogarh,Deogarh,351.0,Groundnut,Summer,120.02,463.01,3858.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nayagarh,Nayagarh,367.0,Maize,Summer,273.03,1053.24,3858.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sonepur,Sonepur,372.0,Rice,Summer,40999.7,156856.79,3826.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Keonjhar,Kendujhar,361.0,Maize,Kharif,1271.68,4744.9,3731.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jharsuguda,Jharsuguda,357.0,Rice,Summer,1951.99,7162.65,3669.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bargarh,Bargarh,347.0,Rice,Summer,100936.27,367524.57,3641.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Khordha,Khordha,362.0,Rice,Summer,1752.99,6083.98,3471.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balasore,Balasore,346.0,Maize,Summer,2.0,6.71,3356.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kalahandi,Kalahandi,358.0,Rice,Summer,56148.59,187941.95,3347.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Cuttack,Cuttack,350.0,Rice,Summer,9377.93,31231.02,3330.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nabarangpur,Nabarangpur,366.0,Maize,Summer,13602.68,44459.98,3268.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balasore,Balasore,346.0,Rice,Summer,63914.54,205386.08,3213.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Puri,Puri,369.0,Rice,Summer,33237.76,105837.13,3184.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Deogarh,Deogarh,351.0,Groundnut,Kharif,225.27,715.9,3178.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balangir,Balangir,345.0,Maize,Kharif,747.93,2377.05,3178.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bargarh,Bargarh,347.0,Rice,Kharif,215096.49,675189.75,3139.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Dhenkanal,Dhenkanal,352.0,Rice,Kharif,90196.99,281589.54,3122.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nayagarh,Nayagarh,367.0,Rice,Summer,42.0,130.02,3096.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nayagarh,Nayagarh,367.0,Maize,Kharif,441.32,1362.86,3088.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kendrapara,Kendrapara,360.0,Rice,Summer,2112.98,6509.29,3081.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Malkangiri,Malkangiri,364.0,Groundnut,Summer,5989.94,18171.26,3034.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Angul,Anugul,344.0,Rice,Summer,2811.98,8519.57,3030.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Dhenkanal,Dhenkanal,352.0,Maize,Summer,175.02,530.22,3029.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Koraput,Koraput,363.0,Rice,Summer,31904.77,96212.37,3016.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Rice,Summer,1279.99,3852.72,3010.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sambalpur,Sambalpur,371.0,Groundnut,Summer,104.02,310.66,2987.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Keonjhar,Kendujhar,361.0,Maize,Summer,12.0,35.67,2972.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Angul,Anugul,344.0,Rice,Kharif,88272.1,260889.59,2956.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Ganjam,Ganjam,354.0,Maize,Kharif,2405.64,7060.93,2935.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bhadrak,Bhadrak,348.0,Groundnut,Summer,1.0,2.91,2908.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sonepur,Sonepur,372.0,Rice,Kharif,92931.1,270059.21,2906.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Keonjhar,Kendujhar,361.0,Groundnut,Summer,57.01,165.25,2899.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Boudh,Boudh,349.0,Rice,Summer,5404.96,15550.75,2877.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sambalpur,Sambalpur,371.0,Maize,Summer,31.0,88.93,2868.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Ganjam,Ganjam,354.0,Rice,Summer,536.0,1518.9,2834.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Koraput,Koraput,363.0,Rice,Kharif,89139.84,251814.43,2825.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nuapada,Nuapada,368.0,Rice,Summer,7497.95,20576.54,2744.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bhadrak,Bhadrak,348.0,Rice,Summer,2612.98,7089.55,2713.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sundargarh,Sundargarh,373.0,Maize,Kharif,499.63,1354.56,2711.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Boudh,Boudh,349.0,Rice,Kharif,61742.17,166619.02,2699.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Cuttack,Cuttack,350.0,Rice,Kharif,105695.26,283518.02,2682.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Keonjhar,Kendujhar,361.0,Rice,Kharif,172252.13,456023.45,2647.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Khordha,Khordha,362.0,Rice,Kharif,86440.43,228770.22,2647.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Koraput,Koraput,363.0,Maize,Kharif,11014.89,28893.55,2623.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balangir,Balangir,345.0,Rice,Summer,8888.94,23271.69,2618.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Angul,Anugul,344.0,Maize,Kharif,250.32,649.6,2595.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Groundnut,Summer,121.02,312.54,2583.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kalahandi,Kalahandi,358.0,Rice,Kharif,193227.55,499185.84,2583.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Dhenkanal,Dhenkanal,352.0,Maize,Kharif,125.66,323.22,2572.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nabarangpur,Nabarangpur,366.0,Rice,Summer,2556.98,6552.18,2562.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Puri,Puri,369.0,Rice,Kharif,88729.27,225740.61,2544.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Mayurbhanj,Mayurbhanj,365.0,Maize,Summer,173.02,439.71,2541.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sundargarh,Sundargarh,373.0,Maize,Summer,66.01,167.42,2536.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jajpur,Jajapur,356.0,Rice,Summer,3767.97,9467.17,2513.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sambalpur,Sambalpur,371.0,Maize,Kharif,98.52,247.19,2509.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Gajapati,Gajapati,353.0,Maize,Kharif,17126.01,42834.36,2501.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Mayurbhanj,Mayurbhanj,365.0,Rice,Summer,9250.93,22877.28,2473.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Rayagada,Rayagada,370.0,Rice,Summer,869.99,2139.99,2460.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Angul,Anugul,344.0,Maize,Summer,46.01,111.21,2417.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Rayagada,Rayagada,370.0,Rice,Kharif,52463.84,126356.59,2408.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Ganjam,Ganjam,354.0,Groundnut,Summer,2499.39,6004.79,2402.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Dhenkanal,Dhenkanal,352.0,Groundnut,Summer,284.04,670.77,2361.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Cuttack,Cuttack,350.0,Groundnut,Summer,1329.21,3121.63,2348.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nabarangpur,Nabarangpur,366.0,Rice,Kharif,98521.31,230641.13,2341.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bargarh,Bargarh,347.0,Maize,Kharif,33.17,77.6,2339.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sundargarh,Sundargarh,373.0,Rice,Summer,1661.99,3872.06,2330.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sambalpur,Sambalpur,371.0,Rice,Kharif,95281.43,221674.07,2327.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Ganjam,Ganjam,354.0,Rice,Kharif,261718.23,605318.66,2313.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Maize,Summer,1.0,2.3,2300.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Khordha,Khordha,362.0,Maize,Kharif,1.01,2.31,2300.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Rice,Kharif,78982.86,180047.68,2280.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Deogarh,Deogarh,351.0,Maize,Kharif,34.18,77.73,2274.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jharsuguda,Jharsuguda,357.0,Rice,Kharif,29477.25,66868.69,2268.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kendrapara,Kendrapara,360.0,Groundnut,Summer,544.09,1227.71,2256.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Koraput,Koraput,363.0,Maize,Summer,1404.17,3166.87,2255.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Malkangiri,Malkangiri,364.0,Rice,Summer,4809.97,10793.77,2244.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nayagarh,Nayagarh,367.0,Rice,Kharif,86471.18,193723.12,2240.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Deogarh,Deogarh,351.0,Rice,Kharif,31760.15,70963.15,2234.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Ganjam,Ganjam,354.0,Maize,Summer,86.01,190.89,2219.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Malkangiri,Malkangiri,364.0,Rice,Kharif,107231.4,235748.32,2199.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nayagarh,Nayagarh,367.0,Groundnut,Summer,131.02,287.52,2194.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Mayurbhanj,Mayurbhanj,365.0,Groundnut,Summer,1245.2,2722.56,2186.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Dhenkanal,Dhenkanal,352.0,Rice,Summer,293.0,639.28,2182.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balangir,Balangir,345.0,Rice,Kharif,153853.14,335226.21,2179.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balangir,Balangir,345.0,Groundnut,Summer,784.12,1697.19,2164.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Mayurbhanj,Mayurbhanj,365.0,Maize,Kharif,662.48,1431.7,2161.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jajpur,Jajapur,356.0,Groundnut,Summer,9484.49,20481.26,2159.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nuapada,Nuapada,368.0,Groundnut,Summer,761.12,1638.27,2152.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Mayurbhanj,Mayurbhanj,365.0,Rice,Kharif,344005.43,734276.76,2134.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nuapada,Nuapada,368.0,Rice,Kharif,57406.47,122190.67,2129.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bargarh,Bargarh,347.0,Groundnut,Summer,2322.36,4922.11,2119.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balasore,Balasore,346.0,Rice,Kharif,171262.41,359565.45,2100.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Koraput,Koraput,363.0,Groundnut,Summer,64.01,134.38,2099.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kandhamal,Kandhamal,359.0,Maize,Summer,17.0,35.68,2098.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Khordha,Khordha,362.0,Maize,Summer,8.0,16.71,2088.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kendrapara,Kendrapara,360.0,Rice,Kharif,123101.55,254354.32,2066.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Keonjhar,Kendujhar,361.0,Rice,Summer,1301.99,2658.01,2041.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jajpur,Jajapur,356.0,Rice,Kharif,106389.45,217008.75,2040.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balangir,Balangir,345.0,Groundnut,Kharif,1601.63,3261.89,2037.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nuapada,Nuapada,368.0,Maize,Kharif,1397.34,2806.01,2008.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Angul,Anugul,344.0,Groundnut,Kharif,792.15,1578.37,1993.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jharsuguda,Jharsuguda,357.0,Groundnut,Summer,357.06,711.05,1991.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kandhamal,Kandhamal,359.0,Rice,Summer,446.0,880.67,1975.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kalahandi,Kalahandi,358.0,Maize,Kharif,1921.1,3777.07,1966.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Gajapati,Gajapati,353.0,Maize,Summer,145.02,282.83,1950.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bhadrak,Bhadrak,348.0,Rice,Kharif,135068.38,262134.96,1941.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Angul,Anugul,344.0,Groundnut,Summer,513.08,995.58,1940.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bhadrak,Bhadrak,348.0,Maize,Summer,3.0,5.8,1933.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Gajapati,Gajapati,353.0,Rice,Summer,1556.99,2948.3,1894.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Koraput,Koraput,363.0,Groundnut,Kharif,158.43,298.94,1887.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Ganjam,Ganjam,354.0,Groundnut,Kharif,423.31,798.3,1886.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sonepur,Sonepur,372.0,Groundnut,Summer,183.03,344.17,1880.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sundargarh,Sundargarh,373.0,Groundnut,Summer,264.04,495.97,1878.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Gajapati,Gajapati,353.0,Rice,Kharif,32988.86,61545.78,1866.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Rayagada,Rayagada,370.0,Maize,Kharif,2886.17,5331.03,1847.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Deogarh,Deogarh,351.0,Maize,Summer,17.0,31.39,1846.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kalahandi,Kalahandi,358.0,Maize,Summer,42.01,76.42,1819.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Gajapati,Gajapati,353.0,Groundnut,Kharif,143.58,258.84,1803.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Khordha,Khordha,362.0,Groundnut,Summer,303.05,532.26,1756.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bargarh,Bargarh,347.0,Groundnut,Kharif,5462.13,9466.23,1733.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Dhenkanal,Dhenkanal,352.0,Groundnut,Kharif,94.07,160.32,1704.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kandhamal,Kandhamal,359.0,Maize,Kharif,1770.3,2967.18,1676.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Balasore,Balasore,346.0,Groundnut,Summer,1958.31,3274.97,1672.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Cuttack,Cuttack,350.0,Groundnut,Kharif,151.0,250.09,1656.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
