organisation,Ministry of Agriculture and Farmers Welfare
sectors,"Agriculture and Allied"
updated_frequency,Yearly
granularity,"Year, State, District, Crop Season, Crop"
time_saved,2.5 hours
source,"Directorate of Economics and Statistics, Ministry of Agriculture and Farmers Welfare ", " Unified Portal for Agricultural Statistics (UPAg)"
source_link,"https://data.desagri.gov.in/website/crops-apy-report-web ", " https://www.upag.gov.in/dash-reports/mipmspstatement"
time_period,"1997-98 to 2024-25"
units,"area in Hectare, production in Tonne, yield in Tonne per Hectare"
citation,"Ministry of Agriculture and Farmers Welfare. District, Season and Crop wise Area, Production and Yield Statistics for Odisha [Data set]. Dataful. https://dataful.in/dataset/4440"
