fiscal_year,district,district_source,district_lgd_code,season,area,production,reported_crop_yield,year,avg_temperature_c,rainfall_mm,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,irrigation_pct,yield_kg_ha
2024-25,Sambalpur,Sambalpur,371.0,Summer,16603.88,69639.3,4194.0,2024,29.6,1187.0,85.3,5.43,303.0,29.0,177.0,62.0,4194.158232894962
2024-25,Sonepur,Sonepur,372.0,Summer,40999.7,156856.79,3826.0,2024,27.6,1327.0,80.9,5.29,289.0,23.0,176.0,32.0,3825.8033595367774
2024-25,Jharsuguda,Jharsuguda,357.0,Summer,1951.99,7162.65,3669.0,2024,28.5,1516.0,87.7,5.56,271.0,23.0,177.0,45.0,3669.4091670551593
2024-25,Bargarh,Bargarh,347.0,Summer,100936.27,367524.57,3641.0,2024,30.4,1484.0,87.8,6.18,262.0,23.0,187.0,69.0,3641.1546612530856
2024-25,Khordha,Khordha,362.0,Summer,1752.99,6083.98,3471.0,2024,29.8,1297.0,80.3,6.14,279.0,27.0,158.0,44.0,3470.6301804345717
2024-25,Kalahandi,Kalahandi,358.0,Summer,56148.59,187941.95,3347.0,2024,25.5,1778.0,79.4,6.31,231.0,28.0,187.0,49.0,3347.224747763034
2024-25,Cuttack,Cuttack,350.0,Summer,9377.93,31231.02,3330.0,2024,28.4,1356.0,75.3,5.95,341.0,21.0,172.0,61.0,3330.26798024724
2024-25,Balasore,Balasore,346.0,Summer,63914.54,205386.08,3213.0,2024,26.8,1237.0,81.5,5.91,305.0,17.0,168.0,20.0,3213.4484578939314
2024-25,Puri,Puri,369.0,Summer,33237.76,105837.13,3184.0,2024,26.8,1623.0,80.5,6.42,281.0,19.0,201.0,61.0,3184.2437637193357
2024-25,Bargarh,Bargarh,347.0,Kharif,215096.49,675189.75,3139.0,2024,27.6,1689.0,85.1,6.46,263.0,25.0,159.0,63.0,3139.0086839631836
2024-25,Dhenkanal,Dhenkanal,352.0,Kharif,90196.99,281589.54,3122.0,2024,27.2,1303.0,76.0,6.1,283.0,24.0,150.0,67.0,3121.939435007753
2024-25,Nayagarh,Nayagarh,367.0,Summer,42.0,130.02,3096.0,2024,29.2,1198.0,80.9,6.18,313.0,25.0,194.0,83.0,3095.7142857142862
2024-25,Kendrapara,Kendrapara,360.0,Summer,2112.98,6509.29,3081.0,2024,28.1,1635.0,85.9,6.36,320.0,20.0,164.0,50.0,3080.620734696968
2024-25,Anugul,Angul,344.0,Summer,2811.98,8519.57,3030.0,2024,27.2,1081.0,79.1,6.4,253.0,28.0,187.0,55.0,3029.7406098194156
